,Entity,Code,Year,Annual CO2 emissions (per capita),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
718,China,CHN,2001,2.7056,0.031,0.719191919,277.43,2.554
719,China,CHN,2002,2.9622,0.048,0.837373737,287.97,2.546
720,China,CHN,2003,3.4555,0.064,0.996969697,283.68,2.536
721,China,CHN,2004,3.9482,0.076,1.277777778,353.544,2.528
722,China,CHN,2005,4.4159,0.084,1.946060606,397.017,5.322
723,China,CHN,2006,4.8481,0.095,3.711818182,435.786,7.133
724,China,CHN,2007,5.1847,0.114,5.479292929,485.264,9.863
725,China,CHN,2008,5.5386,0.152,13.1,636.96,14.866
726,China,CHN,2009,5.7939,0.279,27.61499783,615.644,20.85932
727,China,CHN,2010,6.295,0.701,49.39962,711.38314,24.90023
728,China,CHN,2011,6.9223,2.61,74.1,688.045,27.632
729,China,CHN,2012,7.0623,3.5945099,103.0499065,862.79411,30.133
730,China,CHN,2013,7.1506,8.3738865,138.2641332,909.6122734,37.133
731,China,CHN,2014,7.1353,23.51216,159.7627,1059.69167,46.26822
732,China,CHN,2015,7.0003,39.48057,185.59144,1114.51541,54.07029
733,China,CHN,2016,6.8742,66.52795,240.8605,1153.2675,62.134767
734,China,CHN,2017,6.9812,117.8,304.6,1165.065,79.59748421
735,China,CHN,2018,7.2077,176.9,365.8,1198.887,93.7238
736,China,CHN,2019,7.3163,224.0,405.3,1272.538,112.7238
737,China,CHN,2020,7.4117,261.1,466.5,1322.009109,135.5242
777,Colombia,COL,2004,1.2969,0.007951726,0.05199,38.330058,0.467
778,Colombia,COL,2005,1.4083,0.00953125,0.04948,39.220888,0.503
791,Colombia,COL,2018,1.7092,0.011999821,0.055437176,56.64701407,2.119029289
792,Colombia,COL,2019,1.7962,0.131226024,0.063324063,54.14455518,2.439808308
793,Colombia,COL,2020,1.7512,0.179402549,0.029023529,43.99338707,2.434662091
813,Croatia,HRV,2009,5.0236,1.6464e-05,0.054,7.409,0.025
814,Croatia,HRV,2010,4.8564,1.6464e-05,0.139,9.126,0.033
815,Croatia,HRV,2011,4.7882,1.6464e-05,0.201,5.033,0.055
816,Croatia,HRV,2012,4.4435,0.002,0.329,4.837,0.094
817,Croatia,HRV,2013,4.3108,0.011293959,0.517,8.622,0.125
818,Croatia,HRV,2014,4.1551,0.035,0.73,9.007,0.165
819,Croatia,HRV,2015,4.2093,0.057,0.796,6.391,0.266
820,Croatia,HRV,2016,4.2967,0.066,1.014,6.853,0.431
821,Croatia,HRV,2017,4.475,0.0787,1.204,5.3074,0.5256
822,Croatia,HRV,2018,4.2581,0.0749,1.3354,7.7009,0.6701
823,Croatia,HRV,2019,4.3045,0.0831,1.4673,5.8261,0.9703
824,Croatia,HRV,2020,4.1366,0.084059115,1.732291574,5.667144228,1.068581799
920,Czechia,CZE,2004,12.5172,0.0001,0.0099,2.0191,0.580831
921,Czechia,CZE,2005,12.2516,6.8e-05,0.02128,2.37991,0.648312
922,Czechia,CZE,2006,12.2826,0.00017,0.049375,2.55073,0.912375
923,Czechia,CZE,2007,12.3878,0.001754,0.125098,2.079338,1.187319
924,Czechia,CZE,2008,11.7978,0.012937,0.244661,2.024335,1.456526
925,Czechia,CZE,2009,10.9875,0.088807,0.288067,2.42962,1.86202
926,Czechia,CZE,2010,11.1615,0.615702,0.335493,2.7894,2.146246
927,Czechia,CZE,2011,10.8993,2.118,0.3968,2.1341,2.705329
928,Czechia,CZE,2012,10.5175,2.1731,0.4173,2.2315,3.361419
929,Czechia,CZE,2013,10.0624,2.0702,0.4783,2.8564,3.995469
930,Czechia,CZE,2014,9.8285,2.1229,0.4765,1.9092,4.661073
931,Czechia,CZE,2015,9.8916,2.2638,0.5726,1.7948,4.791685
932,Czechia,CZE,2016,10.0468,2.131,0.497,2.0005,4.76655
933,Czechia,CZE,2017,10.113,2.193368,0.591038,1.8695,4.964567
934,Czechia,CZE,2018,9.9508,2.339677,0.60933,1.6274,4.826179
935,Czechia,CZE,2019,9.4312,2.2859,0.7,2.008,5.0306
936,Czechia,CZE,2020,8.215,2.2331,0.6991,2.1423,5.0917
968,Denmark,DNK,1996,14.2443,0.000161111,1.2269,0.0193,0.83218319
969,Denmark,DNK,1997,12.4014,0.000319444,1.9342,0.0192,0.975667404
970,Denmark,DNK,1998,11.5499,0.0004,2.8199,0.0273,1.078156976
971,Denmark,DNK,1999,11.018,0.000880556,3.029,0.0305,1.318908975
972,Denmark,DNK,2000,10.1647,0.0012,4.2412,0.0302,1.29960556
973,Denmark,DNK,2001,10.429,0.0012,4.306019444,0.0276,1.511559209
974,Denmark,DNK,2002,10.3369,0.001280556,4.876938889,0.0318,1.879121531
975,Denmark,DNK,2003,11.2543,0.001519444,5.560783333,0.0212,2.493351539
976,Denmark,DNK,2004,10.1941,0.001838889,6.583111111,0.0265,2.910754742
977,Denmark,DNK,2005,9.5001,0.002161111,6.614,0.0225,3.174249465
978,Denmark,DNK,2006,10.9158,0.002213889,6.107958333,0.0234,3.069949343
979,Denmark,DNK,2007,9.9921,0.002494444,7.1712,0.0282,3.105063804
980,Denmark,DNK,2008,9.3165,0.002622222,6.9278,0.0258,3.140571269
981,Denmark,DNK,2009,8.8333,0.00375,6.7205,0.0189,3.320257592
982,Denmark,DNK,2010,8.8518,0.006161111,7.809422222,0.020641667,4.593930556
983,Denmark,DNK,2011,7.9196,0.015130556,9.774183333,0.016869444,4.375025
984,Denmark,DNK,2012,7.1005,0.103861111,10.26993889,0.017475,4.446005556
985,Denmark,DNK,2013,7.4042,0.517541667,11.123275,0.013419444,4.313502778
986,Denmark,DNK,2014,6.6282,0.595516667,13.07850278,0.015102778,4.301852778
987,Denmark,DNK,2015,6.1884,0.604261111,14.13309167,0.018030556,4.200627778
988,Denmark,DNK,2016,6.4803,0.743780556,12.78173056,0.019272222,4.913772222
989,Denmark,DNK,2017,6.061,0.751486111,14.78,0.017872222,6.354777778
990,Denmark,DNK,2018,6.0277,0.952973,13.90195556,0.014861111,6.040580556
991,Denmark,DNK,2019,5.3531,0.963269444,16.14983333,0.017216667,6.163630556
992,Denmark,DNK,2020,4.5224,1.181313918,16.35334961,0.016561268,5.277787419
1035,Ecuador,ECU,2007,2.3562,1.8162e-05,0.000962135,9.03765528,0.218752751
1036,Ecuador,ECU,2008,2.0345,2.6687e-05,0.002682461,11.29333301,0.208324462
1037,Ecuador,ECU,2009,2.2,7.88e-06,0.003204417,9.225407229,0.216519797
1039,Ecuador,ECU,2011,2.4533,5.812e-05,0.00334467,11.13308825,0.27820037
1040,Ecuador,ECU,2012,2.401,0.00032566,0.002398368,12.23772341,0.296353242
1041,Ecuador,ECU,2013,2.506,0.003663607,0.056702975,11.03882457,0.29578793
1042,Ecuador,ECU,2014,2.7086,0.016482696,0.079742467,11.45789563,0.399471183
1043,Ecuador,ECU,2015,2.5141,0.036057927,0.098806317,13.09627001,0.407751048
1044,Ecuador,ECU,2016,2.3955,0.038754818,0.08395875,15.83384201,0.489796491
1045,Ecuador,ECU,2017,2.3399,0.03748,0.0734,20.08861,0.43085
1046,Ecuador,ECU,2018,2.2195,0.038079324,0.080257771,20.67800187,0.427967651
1047,Ecuador,ECU,2019,2.1157,0.16645228,0.085526937,24.66426354,0.454723448
1048,Ecuador,ECU,2020,1.7532,0.166446255,0.085526937,24.76799493,0.484793657
1129,Estonia,EST,2009,10.8439,0.0001,0.195,0.032,0.314
1130,Estonia,EST,2010,14.2596,0.0001,0.277,0.027,0.742
1131,Estonia,EST,2011,14.3789,0.0002,0.368,0.03,0.783
1132,Estonia,EST,2012,13.4876,0.0003,0.434,0.042,1.001
1133,Estonia,EST,2013,14.9635,0.0014,0.529,0.026,0.667
1134,Estonia,EST,2014,14.3475,0.0031,0.604,0.0267,0.74
1135,Estonia,EST,2015,12.0574,0.0059,0.7151,0.027,0.779
1136,Estonia,EST,2016,13.3439,0.009677,0.594,0.035,0.885
1137,Estonia,EST,2017,14.2403,0.014492,0.723,0.026,1.683898
1138,Estonia,EST,2018,13.5644,0.030802,0.636,0.015,1.242
1139,Estonia,EST,2019,9.3391,0.116448942,0.687,0.019,1.296
1140,Estonia,EST,2020,7.8795,0.125815067,0.82328179,0.038415301,1.344075622
1160,Europe,EUR,1984,10.5675,0.001010101,0.0382,485.1935345,10.51057781
1161,Europe,EUR,1985,10.9836,0.001010101,0.0574,502.9945407,10.96141274
1162,Europe,EUR,1986,10.9575,0.001010101,0.1336,486.0931835,13.01880956
1164,Europe,EUR,1988,10.9518,0.001010101,0.3297,567.4690014,13.6780998
1165,Europe,EUR,1989,10.8679,0.009090909,0.5154,493.8059307,13.53727589
1166,Europe,EUR,1990,11.1122,0.0125,0.779460415,502.4571504,18.95285263
1167,Europe,EUR,1991,10.6661,0.0155,0.980027988,513.0917745,19.549433
1168,Europe,EUR,1992,9.7653,0.027088,1.53504808,529.6566497,20.709603
1169,Europe,EUR,1993,9.3531,0.032383,2.284826092,550.4667647,22.879095
1170,Europe,EUR,1994,8.849,0.0376885,2.979235703,557.1966285,24.01789971
1171,Europe,EUR,1995,8.8176,0.04684,3.863029201,564.8899094,26.49863146
1172,Europe,EUR,1996,8.8846,0.053811411,4.828585245,548.0862941,26.68019984
1173,Europe,EUR,1997,8.6052,0.063926244,7.295492956,567.678972,31.66351939
1174,Europe,EUR,1998,8.5755,0.0870885,11.17647914,593.9041617,36.11504184
1175,Europe,EUR,1999,8.464,0.091198056,14.24432177,598.1808529,38.09960017
1176,Europe,EUR,2000,8.4676,0.13447325,22.4547142,617.66352,42.3312483
1177,Europe,EUR,2001,8.6396,0.1702025,26.93428666,612.0409616,44.95466864
1178,Europe,EUR,2002,8.5859,0.276755006,36.42594931,563.9424434,50.65633618
1179,Europe,EUR,2003,8.7769,0.468697744,44.53115229,529.5685025,57.9809708
1180,Europe,EUR,2004,8.8074,0.751097873,59.29678686,570.1533941,68.80114151
1181,Europe,EUR,2005,8.7814,1.486383246,71.09674937,571.7251909,78.67317876
1182,Europe,EUR,2006,8.9017,2.524087814,83.16413988,561.9088764,89.27725775
1183,Europe,EUR,2007,8.8135,3.815704819,105.7131938,563.9636046,99.46983003
1184,Europe,EUR,2008,8.6965,7.501071132,121.3539015,593.0331391,110.0447411
1185,Europe,EUR,2009,7.9806,14.19283506,135.3832286,589.7448745,120.7465527
1186,Europe,EUR,2010,8.2728,23.26343602,153.4434969,649.8001668,136.8909383
