,Unnamed: 0_x,Entity,Code,Year,Annual CO2 emissions (per capita),Renewable electricity per capita (kWh),Unnamed: 0_y,Renewables (% sub energy),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
235,1326,Colombia,COL,2018,1.7092,1216.849,791,30.303,0.011999821,0.055437176,56.64701407,2.119029289
236,1327,Colombia,COL,2019,1.7962,1099.535,792,28.338,0.131226024,0.063324063,54.14455518,2.439808308
237,1328,Colombia,COL,2020,1.7512,930.568,793,25.195,0.179402549,0.029023529,43.99338707,2.434662091
238,1453,Croatia,HRV,2009,5.0236,1723.002,813,18.668,1.6464e-05,0.054,7.409,0.025
239,1454,Croatia,HRV,2010,4.8564,2148.718,814,22.724,1.6464e-05,0.139,9.126,0.033
240,1455,Croatia,HRV,2011,4.7882,1224.178,815,14.652,1.6464e-05,0.201,5.033,0.055
241,1456,Croatia,HRV,2012,4.4435,1224.432,816,15.637,0.002,0.329,4.837,0.094
242,1457,Croatia,HRV,2013,4.3108,2169.952,817,25.134,0.011293959,0.517,8.622,0.125
243,1458,Croatia,HRV,2014,4.1551,2335.791,818,26.817,0.035,0.73,9.007,0.165
244,1459,Croatia,HRV,2015,4.2093,1776.571,819,21.189,0.057,0.796,6.391,0.266
245,1460,Croatia,HRV,2016,4.2967,1986.404,820,22.58,0.066,1.014,6.853,0.431
246,1461,Croatia,HRV,2017,4.475,1702.19,821,19.055,0.0787,1.204,5.3074,0.5256
247,1462,Croatia,HRV,2018,4.2581,2352.994,822,25.263,0.0749,1.3354,7.7009,0.6701
248,1463,Croatia,HRV,2019,4.3045,2021.646,823,21.988,0.0831,1.4673,5.8261,0.9703
249,1464,Croatia,HRV,2020,4.1366,2082.69,824,23.25,0.084059115,1.732291574,5.667144228,1.068581799
250,1581,Czechia,CZE,2004,12.5172,267.593,920,1.345,0.0001,0.0099,2.0191,0.580831
251,1582,Czechia,CZE,2005,12.2516,305.123,921,1.586,6.8e-05,0.02128,2.37991,0.648312
252,1583,Czechia,CZE,2006,12.2826,341.794,922,1.782,0.00017,0.049375,2.55073,0.912375
253,1584,Czechia,CZE,2007,12.3878,330.194,923,1.73,0.001754,0.125098,2.079338,1.187319
254,1585,Czechia,CZE,2008,11.7978,356.825,924,1.931,0.012937,0.244661,2.024335,1.456526
255,1586,Czechia,CZE,2009,10.9875,444.311,925,2.501,0.088807,0.288067,2.42962,1.86202
256,1587,Czechia,CZE,2010,11.1615,560.907,926,3.009,0.615702,0.335493,2.7894,2.146246
257,1588,Czechia,CZE,2011,10.8993,685.184,927,3.825,2.118,0.3968,2.1341,2.705329
